fault_id,fault_type,source,error,correct_action,approach,decision,is_correct,latency
F001,line_overload,library,ERROR: Line overload in sector B,REDIRECT,Rule-Based,REDIRECT,1,0.0
F001,line_overload,library,ERROR: Line overload in sector B,REDIRECT,LLM-Only,REDIRECT,1,2.2021
F001,line_overload,library,ERROR: Line overload in sector B,REDIRECT,RAG-Only,REDIRECT,1,3.713
F001,line_overload,library,ERROR: Line overload in sector B,REDIRECT,LLM+RAG,REDIRECT,1,14.8536
F002,line_disconnect,library,ERROR: Transmission line disconnected at node 7,REDIRECT,Rule-Based,RETRY,0,0.0
F002,line_disconnect,library,ERROR: Transmission line disconnected at node 7,REDIRECT,LLM-Only,RETRY,0,11.1022
F002,line_disconnect,library,ERROR: Transmission line disconnected at node 7,REDIRECT,RAG-Only,REDIRECT,1,3.2917
F002,line_disconnect,library,ERROR: Transmission line disconnected at node 7,REDIRECT,LLM+RAG,REDIRECT,1,16.5779
F003,phase_imbalance,library,ERROR: Phase imbalance detected on line 3,RETRY,Rule-Based,RETRY,1,0.0
F003,phase_imbalance,library,ERROR: Phase imbalance detected on line 3,RETRY,LLM-Only,RETRY,1,11.6431
F003,phase_imbalance,library,ERROR: Phase imbalance detected on line 3,RETRY,RAG-Only,RETRY,1,3.3763
F003,phase_imbalance,library,ERROR: Phase imbalance detected on line 3,RETRY,LLM+RAG,RETRY,1,17.0678
F004,transformer_fault,library,ERROR: Transformer overheating at substation 2,SHUTDOWN,Rule-Based,SHUTDOWN,1,0.0
F004,transformer_fault,library,ERROR: Transformer overheating at substation 2,SHUTDOWN,LLM-Only,SHUTDOWN,1,11.1611
F004,transformer_fault,library,ERROR: Transformer overheating at substation 2,SHUTDOWN,RAG-Only,RETRY,0,3.4822
F004,transformer_fault,library,ERROR: Transformer overheating at substation 2,SHUTDOWN,LLM+RAG,SHUTDOWN,1,16.3013
F005,breaker_failure,library,ERROR: Circuit breaker failed to trip at bus 4,SHUTDOWN,Rule-Based,SHUTDOWN,1,0.0
F005,breaker_failure,library,ERROR: Circuit breaker failed to trip at bus 4,SHUTDOWN,LLM-Only,RETRY,0,10.5511
F005,breaker_failure,library,ERROR: Circuit breaker failed to trip at bus 4,SHUTDOWN,RAG-Only,SHUTDOWN,1,3.4504
F005,breaker_failure,library,ERROR: Circuit breaker failed to trip at bus 4,SHUTDOWN,LLM+RAG,SHUTDOWN,1,15.9785
F006,voltage_sag,library,ERROR: Voltage sag detected at distribution bus 6,RETRY,Rule-Based,RETRY,1,0.0
F006,voltage_sag,library,ERROR: Voltage sag detected at distribution bus 6,RETRY,LLM-Only,RETRY,1,11.2744
F006,voltage_sag,library,ERROR: Voltage sag detected at distribution bus 6,RETRY,RAG-Only,RETRY,1,3.3213
F006,voltage_sag,library,ERROR: Voltage sag detected at distribution bus 6,RETRY,LLM+RAG,RETRY,1,16.7565
F007,frequency_deviation,library,ERROR: Generator output frequency deviation,RETRY,Rule-Based,RETRY,1,0.0
F007,frequency_deviation,library,ERROR: Generator output frequency deviation,RETRY,LLM-Only,RETRY,1,11.0626
F007,frequency_deviation,library,ERROR: Generator output frequency deviation,RETRY,RAG-Only,RETRY,1,3.3483
F007,frequency_deviation,library,ERROR: Generator output frequency deviation,RETRY,LLM+RAG,RETRY,1,15.8529
F008,turbine_shutdown,library,ERROR: Turbine emergency shutdown initiated,SHUTDOWN,Rule-Based,SHUTDOWN,1,0.0
F008,turbine_shutdown,library,ERROR: Turbine emergency shutdown initiated,SHUTDOWN,LLM-Only,RETRY,0,10.8303
F008,turbine_shutdown,library,ERROR: Turbine emergency shutdown initiated,SHUTDOWN,RAG-Only,SHUTDOWN,1,3.3275
F008,turbine_shutdown,library,ERROR: Turbine emergency shutdown initiated,SHUTDOWN,LLM+RAG,SHUTDOWN,1,16.5744
F009,partial_load_loss,library,ERROR: Partial load loss on generator unit 3,REDIRECT,Rule-Based,RETRY,0,0.0
F009,partial_load_loss,library,ERROR: Partial load loss on generator unit 3,REDIRECT,LLM-Only,RETRY,0,10.7919
F009,partial_load_loss,library,ERROR: Partial load loss on generator unit 3,REDIRECT,RAG-Only,SHUTDOWN,0,3.3076
F009,partial_load_loss,library,ERROR: Partial load loss on generator unit 3,REDIRECT,LLM+RAG,REDIRECT,1,15.4376
F010,ground_fault,library,ERROR: Ground fault on feeder line F12,RETRY,Rule-Based,SHUTDOWN,0,0.0
F010,ground_fault,library,ERROR: Ground fault on feeder line F12,RETRY,LLM-Only,RETRY,1,10.9534
F010,ground_fault,library,ERROR: Ground fault on feeder line F12,RETRY,RAG-Only,RETRY,1,3.3079
F010,ground_fault,library,ERROR: Ground fault on feeder line F12,RETRY,LLM+RAG,RETRY,1,15.5952
GEN_001,unsynchronized_phase_angle_differences,llm_generated,ERROR: Unsynchronized Phase Angle Differences in Substation1,SHUTDOWN,Rule-Based,SHUTDOWN,1,0.0
GEN_001,unsynchronized_phase_angle_differences,llm_generated,ERROR: Unsynchronized Phase Angle Differences in Substation1,SHUTDOWN,LLM-Only,RETRY,0,10.9763
GEN_001,unsynchronized_phase_angle_differences,llm_generated,ERROR: Unsynchronized Phase Angle Differences in Substation1,SHUTDOWN,RAG-Only,SHUTDOWN,1,3.3014
GEN_001,unsynchronized_phase_angle_differences,llm_generated,ERROR: Unsynchronized Phase Angle Differences in Substation1,SHUTDOWN,LLM+RAG,SHUTDOWN,1,15.0789
GEN_002,partial_load_loss,library_fallback,ERROR: Partial load loss on generator unit 3,REDIRECT,Rule-Based,RETRY,0,0.0
GEN_002,partial_load_loss,library_fallback,ERROR: Partial load loss on generator unit 3,REDIRECT,LLM-Only,RETRY,0,10.9746
GEN_002,partial_load_loss,library_fallback,ERROR: Partial load loss on generator unit 3,REDIRECT,RAG-Only,SHUTDOWN,0,3.3291
GEN_002,partial_load_loss,library_fallback,ERROR: Partial load loss on generator unit 3,REDIRECT,LLM+RAG,REDIRECT,1,15.2638
GEN_003,turbine_shutdown,library_fallback,ERROR: Turbine emergency shutdown initiated,SHUTDOWN,Rule-Based,SHUTDOWN,1,0.0
GEN_003,turbine_shutdown,library_fallback,ERROR: Turbine emergency shutdown initiated,SHUTDOWN,LLM-Only,RETRY,0,27.4439
GEN_003,turbine_shutdown,library_fallback,ERROR: Turbine emergency shutdown initiated,SHUTDOWN,RAG-Only,SHUTDOWN,1,3.5032
GEN_003,turbine_shutdown,library_fallback,ERROR: Turbine emergency shutdown initiated,SHUTDOWN,LLM+RAG,SHUTDOWN,1,16.5937
